Company,TypeName,Inches,Ram,OS,Price_euros,Touchscreen,CPU_company,CPU_freq,CPU_model,GPU_company,GPU_model
3,1,2.9069010598473755,2.1972245773362196,3,6.834108738813838,0,1,0.9555114450274363,3,2,5
2,1,2.8094026953624978,2.1972245773362196,3,6.461452551231646,0,1,1.252762968495368,3,0,3
2,1,2.8094026953624978,1.6094379124341003,3,6.1092475827643655,0,1,1.0986122886681098,2,0,3
0,3,2.70805020110221,2.1972245773362196,3,6.785587645007929,0,1,1.0296194171811581,4,2,5
0,1,2.8094026953624978,1.6094379124341003,3,6.35088571671474,0,1,1.308332819650179,2,3,3
3,1,2.8094026953624978,2.1972245773362196,3,6.395261598115449,0,1,1.308332819650179,4,2,2
3,1,2.70805020110221,2.1972245773362196,3,6.8966943316227125,0,1,1.0296194171811581,4,2,5
4,1,2.8094026953624978,1.6094379124341003,1,5.5348114022303845,0,1,0.7419373447293773,1,2,2
1,0,2.9069010598473755,2.1972245773362196,3,6.844815479208263,0,1,1.252762968495368,3,3,1
4,1,2.8094026953624978,1.6094379124341003,1,6.214608098422191,0,1,1.252762968495368,3,3,0
3,1,2.6602595372658615,1.6094379124341003,3,6.551080335043404,0,1,1.252762968495368,3,2,2
0,1,2.9069010598473755,1.6094379124341003,3,6.486160788944089,0,1,1.308332819650179,2,3,3
4,1,2.70805020110221,2.1972245773362196,3,7.018419704011861,0,1,0.9555114450274363,3,0,3
4,0,2.8094026953624978,2.1972245773362196,1,6.76849321164863,0,1,1.33500106673234,4,3,1
5,1,2.8094026953624978,1.6094379124341003,3,6.401917196727186,0,1,1.1939224684724346,3,2,2
3,1,2.8094026953624978,1.6094379124341003,3,5.91350300563827,0,0,1.252762968495368,5,0,3
1,3,2.70805020110221,2.1972245773362196,3,7.003065458786462,0,1,1.0296194171811581,4,2,5
3,3,2.6026896854443837,2.1972245773362196,3,7.608374474380783,1,1,0.7884573603642702,5,2,2
1,1,2.8094026953624978,1.6094379124341003,3,5.84354441703136,0,1,0.7419373447293773,1,2,2
5,0,2.9069010598473755,2.833213344056216,3,7.615791072035833,0,1,1.33500106673234,4,3,1
0,1,2.8094026953624978,1.6094379124341003,3,6.104793232414985,0,1,1.0986122886681098,2,2,2
2,0,2.8094026953624978,2.833213344056216,3,7.131106808667346,0,1,1.33500106673234,4,3,1
2,0,2.8094026953624978,2.1972245773362196,3,6.802394763324311,0,1,1.33500106673234,4,3,1
4,1,2.8094026953624978,1.6094379124341003,3,6.212606095751519,0,1,1.252762968495368,3,2,2
5,0,2.9069010598473755,2.833213344056216,3,7.544861068658458,0,1,1.33500106673234,4,3,1
3,3,2.70805020110221,1.6094379124341003,3,6.9874902470009905,0,1,1.308332819650179,3,2,2
3,1,2.8094026953624978,1.9459101490553132,3,6.429719478039138,0,1,0.9555114450274363,3,0,4
4,2,2.70805020110221,1.6094379124341003,3,6.4457198193855785,1,1,1.2237754316221157,2,2,2
1,2,2.6602595372658615,2.1972245773362196,3,7.182352111885263,1,1,0.9555114450274363,3,2,2
2,2,2.8094026953624978,2.1972245773362196,3,6.956545443151569,1,1,1.0296194171811581,4,2,5
5,1,2.8094026953624978,1.6094379124341003,3,6.104793232414985,0,1,1.1631508098056809,2,2,2
1,1,2.8094026953624978,1.6094379124341003,3,6.0014148779611505,0,0,1.3862943611198906,5,0,3
0,1,2.9069010598473755,1.6094379124341003,3,6.692083742506628,0,1,0.9555114450274363,3,3,3
2,1,2.8094026953624978,2.1972245773362196,3,6.591673732008658,0,1,0.9555114450274363,3,0,4
4,0,2.8094026953624978,2.833213344056216,3,6.984716320118266,0,1,1.33500106673234,4,3,3
0,1,2.8094026953624978,1.6094379124341003,3,5.855071922202427,0,1,0.7419373447293773,1,2,2
5,0,2.8094026953624978,2.833213344056216,3,7.495541943884256,0,1,1.33500106673234,4,3,1
